¡Claro que sí! He analizado todas las páginas del programa y he unificado los diferentes formatos (Música, Talleres, Cine, etc.) en una **sola base de datos homogénea**. 

He definido las siguientes columnas para que la información tenga sentido en un formato Excel:
1. **Categoría Principal:** (Música, Talleres, Mercados, Literatura, Artes Escénicas, etc.)
2. **Fecha:** Día del evento.
3. **Lugar / Espacio:** Parque o tarima específica.
4. **Horario:** Hora de inicio (y fin, si aplica).
5. **Actividad / Nombre del Evento:** Qué se va a hacer.
6. **Artista / Grupo / Encargado:** Quién imparte o se presenta.
7. **Género / Subcategoría / Descripción:** Detalle del tipo de música, taller, o sinopsis.
8. **Público Dirigido / Observaciones:** Edades, requisitos de inscripción, etc.

### Programación Homogenizada - SJ, Aquí 

| Categoría Principal | Fecha | Lugar / Espacio | Horario | Actividad / Nombre del Evento | Artista / Grupo / Encargado | Género / Subcategoría / Descripción | Público Dirigido / Observaciones |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **Música** | Viernes 10 | Parque Nacional (Tarima Música) | 11:20 a.m. | Concierto | Fabián Castillo DJ | Electrónica | Todo público |
| **Música** | Viernes 10 | Parque Nacional (Tarima Música) | 1:10 p.m. | Concierto | Kawe Calypso Band | Calypso tradicional afrolimonense | Todo público |
| **Música** | Viernes 10 | Parque Nacional (Tarima Música) | 2:40 p.m. | Concierto | Balele Mendé CR | Ritmos tradicionales del oeste africano | Ensamble percusión y danza |
| **Música** | Viernes 10 | Parque Nacional (Tarima Música) | 3:55 p.m. | Concierto | Earthstrong | Reggae | Todo público |
| **Música** | Viernes 10 | Parque Nacional (Tarima Música) | 5:15 p.m. | Concierto | Fercho Salazar | Indie Dance, Afro House, Downtempo | Todo público |
| **Música** | Viernes 10 | Parque Nacional (Tarima Música) | 7:15 p.m. | Concierto | Los Ajenos | Fusión latino pop bailable | Todo público |
| **Música** | Viernes 10 | Parque Morazán (Tarima Música) | 1:15 p.m. | Concierto | Buena Suerte | Punk rock ska | Todo público |
| **Música** | Viernes 10 | Parque Morazán (Tarima Música) | 2:45 p.m. | Concierto | Fogonazo | Jazz contemporáneo | Todo público |
| **Música** | Viernes 10 | Parque Morazán (Tarima Música) | 4:15 p.m. | Concierto | GADEA | House – Groovy – Funky House | Todo público |
| **Música** | Viernes 10 | Parque Morazán (Tarima Música) | 6:00 p.m. | Concierto | Palu Santo | Electronic World Music | Todo público |
| **Música** | Viernes 10 | Parque Morazán (Tarima Música) | 8:00 p.m. | Concierto | Peregrino Gris | Música folk y celta original | Todo público |
| **Música** | Sábado 11 | Parque Nacional (Tarima Música) | 11:15 a.m. | Concierto | La pájara pinta | Infantil | Todo público |
| **Música** | Sábado 11 | Parque Nacional (Tarima Música) | 12:40 a.m. | Concierto | Mirar las flores | Fusión Latina | Todo público |
| **Música** | Sábado 11 | Parque Nacional (Tarima Música) | 2:00 p.m. | Concierto | Elena y la Orquesta Lunar | World Music / Mundo Fusión | Todo público |
| **Música** | Sábado 11 | Parque Nacional (Tarima Música) | 4:00 p.m. | Concierto | Nakury | Hip Hop Fusión tropical | Todo público |
| **Música** | Sábado 11 | Parque Nacional (Tarima Música) | 5:40 p.m. | Concierto | Chillax | Tropical pop | Todo público |
| **Música** | Sábado 11 | Parque Nacional (Tarima Música) | 7:10 p.m. | Concierto | Malpaís | Folk costarricense | Todo público |
| **Música** | Sábado 11 | Parque Morazán (Tarima Música) | 11:00 a.m. | Concierto | Antorcha Peregrina / Cantata | Folclor, cantata histórica | Todo público |
| **Música** | Sábado 11 | Parque Morazán (Tarima Música) | 12:55 p.m. | Concierto | ACACIA | Fusión | Todo público |
| **Música** | Sábado 11 | Parque Morazán (Tarima Música) | 2:35 p.m. | Concierto | Reserva Fantasma | Electro-tropical ecléctico | Todo público |
| **Música** | Sábado 11 | Parque Morazán (Tarima Música) | 4:20 p.m. | Concierto | Amarillo Cian y Magenta | Instrumental original costarricense | Todo público |
| **Música** | Sábado 11 | Parque Morazán (Tarima Música) | 6:10 p.m. | Concierto | TURNSTONES | Rock, Rock alternativo | Todo público |
| **Música** | Sábado 11 | Parque Morazán (Tarima Música) | 7:40 p.m. | Concierto | Los Garbanzos | Rock latino / Ska / Fusión latina | Todo público |
| **Música** | Sábado 11 | Parque España / Corredor Literario | 3:00 p.m. | Concierto | Henry del Toro | Pop Clásico - Easy Listening | Todo público |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 11:00 a.m. | Taller de Bolero Criollo Principiantes | No especificado | Baile | Todo Público |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 12:00 p.m. | Taller de Niñez | No especificado | Baile | Niñez |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 1:00 p.m. | Taller de Swing Criollo Principiantes | No especificado | Baile | Todo Público |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 2:00 p.m. | Taller Swing Criollo Intermedios | No especificado | Baile | Todo Público |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 3:00 p.m. | Taller Bolero Criollo Intermedios | No especificado | Baile | Todo Público |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 4:00 p.m. | Espectáculo | No especificado | Baile | Todo Público |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 5:30 p.m. | Concurso de baile | Presentación participantes y semifinal | Swing y bolero criollos | Jóvenes y adultas |
| **Danza / Baile** | Sábado 11 | Tarima del Swing | 6:30 p.m. | Noche Bailable | No especificado | Swing y Bolero Criollos | Todo Público |
| **Música** | Domingo 12 | Parque Nacional (Tarima Música) | 11:00 a.m. | Concierto | Junior y sus Calypsonians | Calypso | Todo público |
| **Música** | Domingo 12 | Parque Nacional (Tarima Música) | 12:30 p.m. | Concierto | Adiós Cometa | Rock alternativo | Todo público |
| **Música** | Domingo 12 | Parque Nacional (Tarima Música) | 2:50 p.m. | Concierto | República Fortuna | Fusión Ska | Todo público |
| **Música** | Domingo 12 | Parque Nacional (Tarima Música) | 4:10 p.m. | Concierto | Sonámbulo Psicotropical | Psicotropical | Todo público |
| **Música** | Domingo 12 | Parque Nacional (Tarima Música) | 6:10 p.m. | Concierto | Banda El Chiqui Chiqui | Cumbia, merengue, salsa, boleros | Todo público |
| **Música** | Domingo 12 | Parque Morazán (Tarima Música) | 11:00 a.m. | Concierto | Maple | Jazz contemporáneo, fusiones blues/funk | Todo público |
| **Música** | Domingo 12 | Parque Morazán (Tarima Música) | 12:30 p.m. | Concierto | La versión extendida de las cosas | Indie rock pop | Todo público |
| **Música** | Domingo 12 | Parque Morazán (Tarima Música) | 2:00 p.m. | Concierto | Gentry | Hard rock | Todo público |
| **Música** | Domingo 12 | Parque Morazán (Tarima Música) | 3:30 p.m. | Concierto | Elektra Stroke | Rock Alternativo/New wave | Todo público |
| **Música** | Domingo 12 | Parque Morazán (Tarima Música) | 5:00 p.m. | Concierto | Instrovisión | Rock Progresivo | Todo público |
| **Música** | Domingo 12 | Parque Morazán (Tarima Música) | 6:30 p.m. | Concierto | TIMES FORGOTTEN | Rock progresivo | Todo público |
| **Música** | Domingo 12 | Parque España / Corredor Literario | 3:00 p.m. | Concierto | Arygu | Rock/pop alternativo | Todo público |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 11:00 a.m. | Taller Swing y Bolero Criollos | No especificado | Baile | Adultos mayores |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 12:00 p.m. | Taller de Swing Criollo Fusión Urbano | No especificado | Baile | Todo Público |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 1:00 p.m. | Presentaciones Artísticas | No especificado | Baile | Todo Público |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 2:00 p.m. | Taller de Swing y Bolero Criollo Principiantes | No especificado | Baile | Todo Público |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 3:00 p.m. | Taller de Swing y Bolero Criollo Intermedios | No especificado | Baile | Todo Público |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 4:00 p.m. | Espectáculo | No especificado | Baile | Todo Público |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 5:00 p.m. | Concurso de baile | Final ambas categorías | Swing y bolero criollos | Jóvenes y adultos |
| **Danza / Baile** | Domingo 12 | Tarima del Swing | 6:00 p.m. | Noche Bailable | No especificado | Swing y el Bolero Criollos | Todo Público |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #2) | 1:00 p.m. - 1:40 p.m. | Técnica decoupage sobre velas | Runia Elizondo Rojas | Manualidades | De 8 años a +65. Fichas 30 min antes. Cupo limitado. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #1) | 2:00 p.m. - 2:45 p.m. | Caricaturas de nuestras tradiciones | Alejandro Hernández Rojas | Mascaradas y leyendas | De 6 a 18 años. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #3) | 2:00 p.m. - 4:00 p.m. | Pintando figuras de 3D | Xochilt Vanessa Salgado | Cerditos o conejitos | De 5 a 12 años. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #4) | 2:15 p.m. - 3:30 p.m. | Taller porcelana fría | Fabiola Valerín Rojas | Lapicero símbolos de San José | De 7 años a +65. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #2) | 2:15 p.m. - 3:45 p.m. | Taller pinta a tu mascota | Patrizia Gallo | Pintura | De 10 años a +65. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #1) | 3:00 p.m. - 4:00 p.m. | ¡Pinta y diseña tu estilo único! | Alejandro Hernández Rojas | Pintura en tote bag | De 15 años en adelante. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #4) | 4:00 p.m. - 6:00 p.m. | Taller principiantes tejido Amigurumi | Nicole Vanessa Chaves Mora | Tejido | De 10 años a +65. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #1) | 4:15 p.m. - 5:15 p.m. | Arte y pintura de la cultura Geek | Alejandro Hernández Rojas | Pintura | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #2) | 4:30 p.m. - 5:30 p.m. | Pintura sobre salveques de tela | Runia Elizondo Rojas | Pintura niños | De 8 a 12 años. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #3) | 5:00 p.m. - 8:00 p.m. | Taller creativo de pintura en piedra | Xochilt Vanessa Salgado | Pintura | De 7 años en adelante. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #1) | 5:45 p.m. - 6:45 p.m. | Arte en mini lienzos | Johanna Ríos Madrigal | Pintura | De 5 años a +65. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #2) | 6:00 p.m. - 7:00 p.m. | Taller incrustación en velas | Runia Elizondo Rojas | Manualidades | De 13 a 85 años. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #4) | 6:30 p.m. - 8:30 p.m. | Arteterapia By Artesanías Swan | Maria Jose Rivera Gutiérrez | Arteterapia | A partir de 6 años. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #1) | 7:00 p.m. - 8:30 p.m. | Taller de atrapasueños | Johanna Ríos Madrigal | Manualidades | De 10 años a +65. Fichas 30 min antes. |
| **Talleres** | Viernes 10 | Parque Morazán (Toldo #2) | 7:20 p.m. - 8:20 p.m. | Pintura sobre bolsos: técnico Brito | Runia Elizondo Rojas | Pintura | De 10 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #1) | 11:00 a.m. - 12:00 m.d. | El placer de pintar paisajes | Andrea Araya Guerra | Pintura | Todo público. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #2) | 11:00 a.m. - 12:00 m.d. | Taller de slime | Arti Sur | Manualidades | De 3 años en adelante. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #3) | 11:00 a.m. - 8:00 p.m. | Toldo interactivo | Brahma Kumaris | Enfocá tu mente y vibrá paz | Todo público. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #4) | 11:00 a.m. - 12:30 m.d. | Máscara modelada en arcilla | ANESCO | Modelado | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #1) | 12:30 m.d. - 2:00 p.m. | Escultura personajes creativos | Andrea Araya Guerra | Escultura | Mayores de 7 años. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #2) | 1:00 p.m. - 2:00 p.m. | Taller de porcelana fría | Arti Sur | Manualidades | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #4) | 1:15 p.m. - 2:15 p.m. | Lienzo Vivo | Fabiola Valerín Rojas | "Pinta lo que San José Siente por Ti" | De 6 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Área Verde) | 2:00 p.m. - 4:00 p.m. | Talleres de Danza Aérea | Fabiola Bolaños Brenes | Suspensión y Movimiento | De 3 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #3) | 2:00 p.m. - 3:00 p.m. | Juegos y relajación | Brahma Kumaris | Enfocá tu mente y vibrá paz | Niños. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #1) | 2:30 p.m. - 4:00 p.m. | Acuarela: a pintar la naturaleza | Patrizia Gallo | Pintura | De 8 años en adelante. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #2) | 2:30 p.m. - 3:30 p.m. | Taller de Modelatto | Arti Sur | Modelado | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #3) | 3:00 p.m. - 4:00 p.m. | Herramientas para el bienestar | Brahma Kumaris | Enfocá tu mente y vibrá paz | Todo público. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #4) | 3:00 p.m. - 3:40 p.m. | Cartuchera de sueños | Fabiola Valerín Rojas | "Guarda tus Colores..." | De 3 a 12 años. Fichas 30 min antes. |
